review_id,session,n_channels,sample_count,duration_seconds,sampling_rate_hz,checkerboard_event_count,eyes_open_segments,eyes_closed_segments,channel_mapping_status,identity_status,configuration_status,protocol_status,manual_review_scope
RV-734515AF,SESSION_01,11,372300,372.3,1000.0,60,4,3,VERIFIED,UNRESOLVED,VERIFIED,COMPLETE,IN_SCOPE
RV-BA552A8A,SESSION_01,11,522440,522.44,1000.0,60,4,3,VERIFIED,UNRESOLVED,VERIFIED,COMPLETE,IN_SCOPE
RV-B458EA87,SESSION_01,9,644680,644.68,1000.0,30,4,4,UNRESOLVED,UNRESOLVED,UNRESOLVED,COMPLETE,INTEGRITY_ONLY
RV-D2724CBE,SESSION_01,11,263220,263.22,1000.0,50,0,0,VERIFIED,UNRESOLVED,VERIFIED,INCOMPLETE,INTEGRITY_ONLY
RV-BA1B59BC,SESSION_01,11,375720,375.72,1000.0,60,4,3,VERIFIED,UNRESOLVED,VERIFIED,COMPLETE,IN_SCOPE
RV-2DE5DCEC,SESSION_01,11,421820,421.82,1000.0,80,4,3,VERIFIED,UNRESOLVED,VERIFIED,COMPLETE,IN_SCOPE
RV-D8C9B34D,SESSION_01,11,340740,340.74,1000.0,40,4,3,VERIFIED,UNRESOLVED,VERIFIED,COMPLETE,IN_SCOPE
RV-B041675C,SESSION_01,11,450240,450.24,1000.0,60,4,3,VERIFIED,UNRESOLVED,VERIFIED,COMPLETE,IN_SCOPE
RV-CE9FD740,SESSION_01,11,436940,436.94,1000.0,60,4,3,VERIFIED,UNRESOLVED,VERIFIED,COMPLETE,IN_SCOPE
RV-ADC21BEA,SESSION_01,11,542540,542.54,1000.0,40,6,5,VERIFIED,UNRESOLVED,VERIFIED,COMPLETE,IN_SCOPE
RV-B62EBD38,SESSION_01,11,395160,395.16,1000.0,40,5,4,VERIFIED,UNRESOLVED,VERIFIED,COMPLETE,IN_SCOPE
RV-1C558758,SESSION_01,11,756080,756.08,1000.0,60,8,6,VERIFIED,UNRESOLVED,VERIFIED,COMPLETE,IN_SCOPE
RV-CD1843EC,SESSION_01,9,467040,467.04,1000.0,40,4,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,COMPLETE,INTEGRITY_ONLY
RV-B1F39AFA,SESSION_01,9,439200,439.2,1000.0,40,4,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,COMPLETE,INTEGRITY_ONLY
RV-B53EE12C,SESSION_01,11,373300,373.3,1000.0,60,4,3,VERIFIED,UNRESOLVED,VERIFIED,COMPLETE,IN_SCOPE
RV-518AA7A3,SESSION_01,11,479400,479.4,1000.0,60,4,3,VERIFIED,UNRESOLVED,VERIFIED,COMPLETE,IN_SCOPE
