review_id,session,identity_status,configuration_status,manual_review_scope,authoritative_backend,mne_preservation_checks,file_hash_vhdr,file_hash_eeg,file_hash_vmrk,sample_count,duration_seconds,sampling_rate_hz,binary_format,channel_headers,channel_units,channel_resolutions,marker_count,marker_sequence_hash,relative_marker_sequence_hash,event_code,event_count,block_count,events_per_block,median_iei_seconds,minimum_iei_seconds,maximum_iei_seconds,median_reversal_rate_hz,iei_cv
RV-734515AF,SESSION_01,UNRESOLVED,VERIFIED,IN_SCOPE,mne.io.read_raw_brainvision,"{""sample_count_preserved"": true, ""sampling_rate_preserved"": true, ""channel_names_preserved"": true, ""annotations_preserved"": true, ""checkerboard_event_code_preserved"": true, ""all_preserved"": true}",9a3d19909ad5e2b9793b927f5640b68bcd8cbe5e687782e67b69b474ae1edb9e,5a07359f7a507a9767f5b7b51ccd00de50cbb6fa68a88329608d8a88b7995653,fbe476795cf440f25e03c42cde2f193a9f9d04d349f85e34f38f84ea977c862a,372300,372.3,1000.0,INT_16,1|2|3|4|5|6|7|8|9|10|11,µV|µV|µV|µV|µV|µV|µV|µV|µV|µV|µV,0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1,68,65539ddea372472b0255ba9268a4610d0dc6a8d9c612b4947982c0d755c3f6e7,65539ddea372472b0255ba9268a4610d0dc6a8d9c612b4947982c0d755c3f6e7,S  7,60,3,20|20|20,0.615,0.589,0.645,1.6260162601626016,0.020359018510242678
RV-BA552A8A,SESSION_01,UNRESOLVED,VERIFIED,IN_SCOPE,mne.io.read_raw_brainvision,"{""sample_count_preserved"": true, ""sampling_rate_preserved"": true, ""channel_names_preserved"": true, ""annotations_preserved"": true, ""checkerboard_event_code_preserved"": true, ""all_preserved"": true}",80daf1caaa964fe85f50f6752b20a7d633c03d1d3dbfbc012d025113551decff,0e438b081308cd127409ae17d19ef11060301ca1dd422d954603e9d6be6511d4,5a787799e4cf84b1079a365d358e537f769cfabfe7d5dc4984b1519e81804e4d,522440,522.44,1000.0,INT_16,1|2|3|4|5|6|7|8|9|10|11,µV|µV|µV|µV|µV|µV|µV|µV|µV|µV|µV,0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1,68,0647dd30b48fbfee2b3988d8208b4952b8f722ea0c868e063d99187dcae271aa,0647dd30b48fbfee2b3988d8208b4952b8f722ea0c868e063d99187dcae271aa,S  7,60,3,20|20|20,0.607,0.572,0.656,1.6474464579901154,0.03146912203992545
RV-B458EA87,SESSION_01,UNRESOLVED,UNRESOLVED,INTEGRITY_ONLY,mne.io.read_raw_brainvision,"{""sample_count_preserved"": true, ""sampling_rate_preserved"": true, ""channel_names_preserved"": true, ""annotations_preserved"": true, ""checkerboard_event_code_preserved"": true, ""all_preserved"": true}",23810bfa317da2f8ce427b207180d5e71be3de789451fef7bbc9ddb612c7aa7a,24deb69695e68e46c4b569d4cb012b167b65538ae2b0ad7cffcfd521f22a145e,cbd77f53c1c4469df3eed80517eb9ed1f6a9b3bf5c219544b1624b8cd51dd9d2,644680,644.68,1000.0,INT_16,1|2|3|4|5|6|7|8|9,µV|µV|µV|µV|µV|µV|µV|µV|µV,0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1,40,a1d3f7a207e6a8e1e2660abb7e343f2d648990e762dda2017c1a2ce019894e18,a1d3f7a207e6a8e1e2660abb7e343f2d648990e762dda2017c1a2ce019894e18,S  7,30,2,10|20,0.5634999999999999,0.554,0.596,1.7746228926353154,0.013929135417416255
RV-D2724CBE,SESSION_01,UNRESOLVED,VERIFIED,INTEGRITY_ONLY,mne.io.read_raw_brainvision,"{""sample_count_preserved"": true, ""sampling_rate_preserved"": true, ""channel_names_preserved"": true, ""annotations_preserved"": true, ""checkerboard_event_code_preserved"": true, ""all_preserved"": true}",452532087dd933876e9ba21a44f24fbb35e62ef26a63c27ad89563cea015de1e,77042b373d44e996dabf1c9ba1ba7f0c8d1c61963b69f190e8c199c7a9d1c0f8,26e23a19b2a0085602e7243d43dbbc6b395ef2d16e9bca56a5743819da518f62,263220,263.22,1000.0,INT_16,1|2|3|4|5|6|7|8|9|10|11,µV|µV|µV|µV|µV|µV|µV|µV|µV|µV|µV,0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1,51,9078b47490c5773a4075d5555fda415d0e5968528d811179be77082557a3e4b5,9078b47490c5773a4075d5555fda415d0e5968528d811179be77082557a3e4b5,S  7,50,5,10|10|10|10|10,0.593,0.559,0.635,1.6863406408094437,0.03347047704940958
RV-BA1B59BC,SESSION_01,UNRESOLVED,VERIFIED,IN_SCOPE,mne.io.read_raw_brainvision,"{""sample_count_preserved"": true, ""sampling_rate_preserved"": true, ""channel_names_preserved"": true, ""annotations_preserved"": true, ""checkerboard_event_code_preserved"": true, ""all_preserved"": true}",5bfaaef3f4281a8d0609b5f354f9b9c5042ce017997e120e4869e9f3560a0d2a,b413a35e6ab7da93215e315f726757e9749acc8db241ff0a52683a9824174bf9,2efb3395731e825ad680494ac988240ef1950f79b0028b28e0a2a69928ad6900,375720,375.72,1000.0,INT_16,1|2|3|4|5|6|7|8|9|10|11,µV|µV|µV|µV|µV|µV|µV|µV|µV|µV|µV,0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1,68,8e41e763ff60c2616fa79d31ea9050133eb8712bc0cb9ddf136485c77b94d616,8e41e763ff60c2616fa79d31ea9050133eb8712bc0cb9ddf136485c77b94d616,S  7,60,3,20|20|20,0.618,0.577,0.662,1.6181229773462784,0.032201440175348955
RV-2DE5DCEC,SESSION_01,UNRESOLVED,VERIFIED,IN_SCOPE,mne.io.read_raw_brainvision,"{""sample_count_preserved"": true, ""sampling_rate_preserved"": true, ""channel_names_preserved"": true, ""annotations_preserved"": true, ""checkerboard_event_code_preserved"": true, ""all_preserved"": true}",57d332b01ad02dadc7a062ea4f1327903dd74b16491ef425e218b0c12cd90987,d4ee2f5c28833c13a8d16269064b88a1a6dcdc83226f4775494c0e121bb29731,d4ed0e4afa34fc0725e84964ff6fb9b1d7eace5e6cfc1a4e9acd8c1d78807cff,421820,421.82,1000.0,INT_16,1|2|3|4|5|6|7|8|9|10|11,µV|µV|µV|µV|µV|µV|µV|µV|µV|µV|µV,0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1,88,9ee27e5348fe771150689f5d9b547dfd109491b1c0c5128b408b3bc52f54d990,9ee27e5348fe771150689f5d9b547dfd109491b1c0c5128b408b3bc52f54d990,S  7,80,4,20|20|20|20,0.605,0.575,0.642,1.6528925619834711,0.02100208082249483
RV-D8C9B34D,SESSION_01,UNRESOLVED,VERIFIED,IN_SCOPE,mne.io.read_raw_brainvision,"{""sample_count_preserved"": true, ""sampling_rate_preserved"": true, ""channel_names_preserved"": true, ""annotations_preserved"": true, ""checkerboard_event_code_preserved"": true, ""all_preserved"": true}",a6152b8f1a9187b47c595dfc00b84b65fc07ff455a2f74b5e07cc61a7fb9d3ed,7d6d2ea960a81cebdbbca6e867b3f9ba32660d1c2fa271fc3497146a20371aa1,422b147f440d7cf96c7d9e4c9340e5b60db5b86ffe0dd047035e0aae50cf9cb8,340740,340.74,1000.0,INT_16,1|2|3|4|5|6|7|8|9|10|11,µV|µV|µV|µV|µV|µV|µV|µV|µV|µV|µV,0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1,48,85a22fffb97b2b0d7aa4a20fe3e72a9d1a39b37399c0fd4f3290fa2f1ab550cf,85a22fffb97b2b0d7aa4a20fe3e72a9d1a39b37399c0fd4f3290fa2f1ab550cf,S  7,40,2,20|20,0.56,0.552,0.571,1.7857142857142856,0.009302122870992828
RV-B041675C,SESSION_01,UNRESOLVED,VERIFIED,IN_SCOPE,mne.io.read_raw_brainvision,"{""sample_count_preserved"": true, ""sampling_rate_preserved"": true, ""channel_names_preserved"": true, ""annotations_preserved"": true, ""checkerboard_event_code_preserved"": true, ""all_preserved"": true}",576923270d61cf1b870e1dfaa0679b26b68ed3f18d96e48631fae81912411178,3618306444b7950e3a4d7f18e14c8e8feb5394401b40e8cadabfca664872eddd,961198979522a87b6673e800ba8c76cc44279f95703b4edd9c1f4b9d9206ec43,450240,450.24,1000.0,INT_16,1|2|3|4|5|6|7|8|9|10|11,µV|µV|µV|µV|µV|µV|µV|µV|µV|µV|µV,0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1,68,34216d4331f7851dd76c5f36db3433544da45b843e3827df4d133ecace6d253d,34216d4331f7851dd76c5f36db3433544da45b843e3827df4d133ecace6d253d,S  7,60,3,20|20|20,0.603,0.568,0.654,1.658374792703151,0.030416589529338275
RV-CE9FD740,SESSION_01,UNRESOLVED,VERIFIED,IN_SCOPE,mne.io.read_raw_brainvision,"{""sample_count_preserved"": true, ""sampling_rate_preserved"": true, ""channel_names_preserved"": true, ""annotations_preserved"": true, ""checkerboard_event_code_preserved"": true, ""all_preserved"": true}",b5d67db7dff8ec4fd6919ec2b0684ba71f7f660e429d3aaf9b8b60d7b10ef186,a63e20c30a2401afdaee0c4cce1516c259802b9abb2a99729ce44def8600c385,ca931d791b7f71b9ba11a59a05a3f9b56f99cbe7298a5b87693e6bcedfd9b217,436940,436.94,1000.0,INT_16,1|2|3|4|5|6|7|8|9|10|11,µV|µV|µV|µV|µV|µV|µV|µV|µV|µV|µV,0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1,68,347aabbfc35027adc925b039b313b234b6a8e6c5c26cfcc4fef3f35fb374c4e0,347aabbfc35027adc925b039b313b234b6a8e6c5c26cfcc4fef3f35fb374c4e0,S  7,60,3,20|20|20,0.607,0.559,0.639,1.6474464579901154,0.029592946686105345
RV-ADC21BEA,SESSION_01,UNRESOLVED,VERIFIED,IN_SCOPE,mne.io.read_raw_brainvision,"{""sample_count_preserved"": true, ""sampling_rate_preserved"": true, ""channel_names_preserved"": true, ""annotations_preserved"": true, ""checkerboard_event_code_preserved"": true, ""all_preserved"": true}",d3d589823167078e53b5d0c525a145a6302b1b0bd5aa5a40920609e7cd05ef66,33bd39c86308668b0e626c17b86d7cc827bfe980028572d8c96922ae2c15a56b,15af9263c39c90fe055bfe0190382751fb96ff5c9c15dc978f16266840f00257,542540,542.54,1000.0,INT_16,1|2|3|4|5|6|7|8|9|10|11,µV|µV|µV|µV|µV|µV|µV|µV|µV|µV|µV,0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1,53,866b5296b05dcac531d9620f74d413fea92bbd7b37018ce6479c0b23ba25fbee,866b5296b05dcac531d9620f74d413fea92bbd7b37018ce6479c0b23ba25fbee,S  7,40,2,20|20,0.562,0.55,0.568,1.779359430604982,0.010019516004606911
